location_type,name,state_name,district_name,sub_district_name,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,source
district,Sivaganga,Tamil Nadu,Sivaganga,,33,585,,,lgd
district,Sonbhadra,Uttar Pradesh,Sonbhadra,,9,184,,,lgd
district,Sonepur,Odisha,Sonepur,,21,372,,,lgd
district,South 24 Parganas,West Bengal,South 24 Parganas,,19,304,,,lgd
district,South Goa,Goa,South Goa,,30,552,,,lgd
district,Suryapet,Telangana,Suryapet,,36,696,,,lgd
district,Tengnoupal,Manipur,Tengnoupal,,14,716,,,lgd
district,Theni,Tamil Nadu,Theni,,33,588,,,lgd
district,Thiruvarur,Tamil Nadu,Thiruvarur,,33,590,,,lgd
district,Tikamgarh,Madhya Pradesh,Tikamgarh,,23,434,,,lgd
district,Unakoti,Tripura,Unakoti,,16,655,,,lgd
district,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,,12,241,,,lgd
district,Varanasi,Uttar Pradesh,Varanasi,,9,187,,,lgd
district,Virudhunagar,Tamil Nadu,Virudhunagar,,33,597,,,lgd
district,Wardha,Maharashtra,Wardha,,27,498,,,lgd
district,West Khasi Hills,Meghalaya,West Khasi Hills,,17,279,,,lgd
district,West Tripura,Tripura,West Tripura,,16,272,,,lgd
district,Y.S.R.,Andhra Pradesh,Y.S.R.,,28,504,,,lgd
district,Agar-Malwa,Madhya Pradesh,Agar-Malwa,,23,667,,,lgd
district,Agra,Uttar Pradesh,Agra,,9,118,,,lgd
district,Ajmer,Rajasthan,Ajmer,,8,86,,,lgd
district,Alipurduar,West Bengal,Alipurduar,,19,664,,,lgd
district,Almora,Uttarakhand,Almora,,5,45,,,lgd
district,Ambala,Haryana,Ambala,,6,58,,,lgd
district,Amravati,Maharashtra,Amravati,,27,468,,,lgd
district,Amreli,Gujarat,Amreli,,24,439,,,lgd
district,Anantnag,Jammu And Kashmir,Anantnag,,1,1,,,lgd
district,Annamayya,Andhra Pradesh,Annamayya,,28,753,,,lgd
district,Baksa,Assam,Baksa,,18,616,,,lgd
district,Baleshwar,Odisha,Baleshwar,,21,346,,,lgd
district,Ballia,Uttar Pradesh,Ballia,,9,126,,,lgd
district,Balodabazar-Bhatapara,Chhattisgarh,Balodabazar-Bhatapara,,22,644,,,lgd
district,Banda,Uttar Pradesh,Banda,,9,128,,,lgd
district,Banka,Bihar,Banka,,10,190,,,lgd
district,Bankura,West Bengal,Bankura,,19,305,,,lgd
district,Baramulla,Jammu And Kashmir,Baramulla,,1,3,,,lgd
