state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,last_updated
9,Uttar Pradesh,9,148,Gorakhpur,188,948,Campierganj,948,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,951,Chauri Chaura,951,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,954,Gola,954,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,953,Khajni,953,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,949,Sahjanwa,949,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,952,Bansgaon,952,07-10-2024
9,Uttar Pradesh,9,148,Gorakhpur,188,950,Gorakhpur,950,07-10-2024
9,Uttar Pradesh,9,149,Hamirpur,168,864,Hamirpur,864,07-10-2024
9,Uttar Pradesh,9,149,Hamirpur,168,866,Sarila,866,07-10-2024
9,Uttar Pradesh,9,149,Hamirpur,168,865,Rath,865,07-10-2024
9,Uttar Pradesh,9,149,Hamirpur,168,867,Maudaha,867,07-10-2024
9,Uttar Pradesh,9,661,Hapur,0,6032,Dhaulana,0,07-10-2024
9,Uttar Pradesh,9,661,Hapur,0,740,Hapur,740,07-10-2024
9,Uttar Pradesh,9,661,Hapur,0,741,Garhmukteshwar,741,07-10-2024
9,Uttar Pradesh,9,150,Hardoi,155,812,Bilgram,812,07-10-2024
9,Uttar Pradesh,9,150,Hardoi,155,811,Hardoi,811,07-10-2024
9,Uttar Pradesh,9,150,Hardoi,155,809,Shahabad,809,07-10-2024
9,Uttar Pradesh,9,150,Hardoi,155,813,Sandila,813,07-10-2024
9,Uttar Pradesh,9,150,Hardoi,155,810,Sawayajpur,810,07-10-2024
9,Uttar Pradesh,9,163,Hathras,144,760,Sadabad,760,07-10-2024
9,Uttar Pradesh,9,163,Hathras,144,759,Hathras,759,07-10-2024
9,Uttar Pradesh,9,163,Hathras,144,757,Sasni,757,07-10-2024
9,Uttar Pradesh,9,163,Hathras,144,758,Sikandra Rao,758,07-10-2024
9,Uttar Pradesh,9,151,Jalaun,165,855,Konch,855,07-10-2024
9,Uttar Pradesh,9,151,Jalaun,165,854,Orai,854,07-10-2024
9,Uttar Pradesh,9,151,Jalaun,165,852,Jalaun,852,07-10-2024
9,Uttar Pradesh,9,151,Jalaun,165,853,Kalpi,853,07-10-2024
9,Uttar Pradesh,9,151,Jalaun,165,851,Madhogarh,851,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,983,Machhlishahr,983,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,982,Badlapur,982,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,981,Shahganj,981,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,986,Kerakat,986,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,984,Jaunpur,984,07-10-2024
9,Uttar Pradesh,9,152,Jaunpur,194,985,Mariahu,985,07-10-2024
9,Uttar Pradesh,9,153,Jhansi,166,858,Tahrauli,858,07-10-2024
9,Uttar Pradesh,9,153,Jhansi,166,859,Mauranipur,859,07-10-2024
9,Uttar Pradesh,9,153,Jhansi,166,856,Moth,856,07-10-2024
9,Uttar Pradesh,9,153,Jhansi,166,857,Garautha,857,07-10-2024
9,Uttar Pradesh,9,153,Jhansi,166,860,Jhansi,860,07-10-2024
9,Uttar Pradesh,9,155,Kannauj,160,833,Chhibramau,833,07-10-2024
9,Uttar Pradesh,9,155,Kannauj,160,834,Kannauj,834,07-10-2024
9,Uttar Pradesh,9,155,Kannauj,160,835,Tirwa,835,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,846,Bhognipur,846,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,844,Derapur,844,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,6871,Maitha,0,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,847,Sikandra,847,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,845,Akbarpur,845,07-10-2024
9,Uttar Pradesh,9,156,Kanpur Dehat,163,843,Rasulabad,843,07-10-2024
9,Uttar Pradesh,9,157,Kanpur Nagar,164,848,Bilhaur,848,07-10-2024
9,Uttar Pradesh,9,157,Kanpur Nagar,164,850,Ghatampur,850,07-10-2024
9,Uttar Pradesh,9,157,Kanpur Nagar,164,849,Kanpur,849,07-10-2024
9,Uttar Pradesh,9,157,Kanpur Nagar,164,6163,Narwal,0,07-10-2024
9,Uttar Pradesh,9,633,Kasganj,202,1010,Kasganj,1010,07-10-2024
9,Uttar Pradesh,9,633,Kasganj,202,1012,Patiyali,1012,07-10-2024
9,Uttar Pradesh,9,633,Kasganj,202,1011,Sahawar,1011,07-10-2024
9,Uttar Pradesh,9,158,Kaushambi,174,887,Chail,887,07-10-2024
9,Uttar Pradesh,9,158,Kaushambi,174,886,Manjhanpur,886,07-10-2024
9,Uttar Pradesh,9,158,Kaushambi,174,885,Sirathu,885,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,798,Palia,798,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,799,Gola Gokaran Nath,799,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,801,Lakhimpur,801,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,797,Nighasan,797,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,6875,Mitauli,0,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,800,Mohammdi,800,07-10-2024
9,Uttar Pradesh,9,159,Kheri,153,802,Dhaurahara,802,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,6878,Khadda,0,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,955,Padrauna,955,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,6879,Kaptanganj,0,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,956,Hata,956,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,957,Kasya,957,07-10-2024
9,Uttar Pradesh,9,160,Kushinagar,189,958,Tamkuhi Raj,958,07-10-2024
9,Uttar Pradesh,9,161,Lalitpur,167,863,Mahroni,863,07-10-2024
9,Uttar Pradesh,9,161,Lalitpur,167,6369,Mdawara,0,07-10-2024
9,Uttar Pradesh,9,161,Lalitpur,167,861,Talbehat,861,07-10-2024
9,Uttar Pradesh,9,161,Lalitpur,167,862,Lalitpur,862,07-10-2024
9,Uttar Pradesh,9,161,Lalitpur,167,6881,Pali,0,07-10-2024
9,Uttar Pradesh,9,162,Lucknow,157,6094,Sarojani Nagar,0,07-10-2024
9,Uttar Pradesh,9,162,Lucknow,157,821,Sadar,821,07-10-2024
9,Uttar Pradesh,9,162,Lucknow,157,820,Bakshi Ka Talab,820,07-10-2024
9,Uttar Pradesh,9,162,Lucknow,157,819,Malihabad,819,07-10-2024
9,Uttar Pradesh,9,162,Lucknow,157,822,Mohanlalganj,822,07-10-2024
9,Uttar Pradesh,9,165,Mahoba,169,869,Charkhari,869,07-10-2024
9,Uttar Pradesh,9,165,Mahoba,169,870,Mahoba,870,07-10-2024
9,Uttar Pradesh,9,165,Mahoba,169,868,Kulpahar,868,07-10-2024
9,Uttar Pradesh,9,164,Mahrajganj,187,946,Pharenda,946,07-10-2024
9,Uttar Pradesh,9,164,Mahrajganj,187,947,Maharajganj,947,07-10-2024
9,Uttar Pradesh,9,164,Mahrajganj,187,944,Nautanwa,944,07-10-2024
9,Uttar Pradesh,9,164,Mahrajganj,187,945,Nichlaul,945,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,6873,Ghiror,0,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,6872,Kishni,0,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,6874,Kurawali,0,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,775,Mainpuri,775,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,777,Bhogaon,777,07-10-2024
9,Uttar Pradesh,9,166,Mainpuri,148,776,Karhal,776,07-10-2024
9,Uttar Pradesh,9,167,Mathura,145,762,Mat,762,07-10-2024
9,Uttar Pradesh,9,167,Mathura,145,6832,Govardhan,0,07-10-2024
9,Uttar Pradesh,9,167,Mathura,145,761,Chhata,761,07-10-2024
9,Uttar Pradesh,9,167,Mathura,145,763,Mahavan,763,07-10-2024
9,Uttar Pradesh,9,167,Mathura,145,764,Mathura,764,07-10-2024
9,Uttar Pradesh,9,168,Mau,192,971,Ghosi,971,07-10-2024
9,Uttar Pradesh,9,168,Mau,192,973,Maunath Bhanjan,973,07-10-2024
9,Uttar Pradesh,9,168,Mau,192,974,Muhammadabad Gohna,974,07-10-2024
9,Uttar Pradesh,9,168,Mau,192,972,Madhuban,972,07-10-2024
9,Uttar Pradesh,9,169,Meerut,138,733,Mawana,733,07-10-2024
9,Uttar Pradesh,9,169,Meerut,138,734,Meerut,734,07-10-2024
9,Uttar Pradesh,9,169,Meerut,138,732,Sardhana,732,07-10-2024
9,Uttar Pradesh,9,170,Mirzapur,199,1000,Mirzapur,1000,07-10-2024
9,Uttar Pradesh,9,170,Mirzapur,199,1001,Lalganj,1001,07-10-2024
9,Uttar Pradesh,9,170,Mirzapur,199,1003,Chunar,1003,07-10-2024
9,Uttar Pradesh,9,170,Mirzapur,199,1002,Marihan,1002,07-10-2024
9,Uttar Pradesh,9,171,Moradabad,135,719,Moradabad,719,07-10-2024
9,Uttar Pradesh,9,171,Moradabad,135,720,Bilari,720,07-10-2024
9,Uttar Pradesh,9,171,Moradabad,135,718,Kanth,718,07-10-2024
9,Uttar Pradesh,9,171,Moradabad,135,717,Thakurdwara,717,07-10-2024
9,Uttar Pradesh,9,172,Muzaffarnagar,133,710,Khatauli,710,07-10-2024
9,Uttar Pradesh,9,172,Muzaffarnagar,133,711,Jansath,711,07-10-2024
9,Uttar Pradesh,9,172,Muzaffarnagar,133,708,Muzaffarnagar,708,07-10-2024
9,Uttar Pradesh,9,172,Muzaffarnagar,133,709,Budhana,709,07-10-2024
9,Uttar Pradesh,9,173,Pilibhit,151,790,Pilibhit,790,07-10-2024
9,Uttar Pradesh,9,173,Pilibhit,151,792,Puranpur,792,07-10-2024
9,Uttar Pradesh,9,173,Pilibhit,151,6867,Amariya,0,07-10-2024
9,Uttar Pradesh,9,173,Pilibhit,151,791,Bisalpur,791,07-10-2024
9,Uttar Pradesh,9,173,Pilibhit,151,6866,Kalinagar,0,07-10-2024
9,Uttar Pradesh,9,174,Pratapgarh,173,881,Kunda,881,07-10-2024
9,Uttar Pradesh,9,174,Pratapgarh,173,884,Raniganj,884,07-10-2024
9,Uttar Pradesh,9,174,Pratapgarh,173,880,Lalganj,880,07-10-2024
9,Uttar Pradesh,9,174,Pratapgarh,173,883,Patti,883,07-10-2024
9,Uttar Pradesh,9,174,Pratapgarh,173,882,Pratapgarh,882,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,890,Allahabad,890,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,895,Koraon,895,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,888,Soraon,888,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,891,Bara,891,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,892,Karchhana,892,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,894,Meja,894,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,893,Handia,893,07-10-2024
9,Uttar Pradesh,9,120,Prayagraj,175,889,Phulpur,889,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,823,Maharajganj,823,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,825,Rae Bareli,825,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,829,Salon,829,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,828,Unchahar,828,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,827,Dalmau,827,07-10-2024
9,Uttar Pradesh,9,175,Rae Bareli,158,826,Lalganj,826,07-10-2024
9,Uttar Pradesh,9,176,Rampur,136,727,Shahabad,727,07-10-2024
9,Uttar Pradesh,9,176,Rampur,136,725,Bilaspur,725,07-10-2024
9,Uttar Pradesh,9,176,Rampur,136,728,Milak,728,07-10-2024
9,Uttar Pradesh,9,176,Rampur,136,723,Suar,723,07-10-2024
