stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1706,Tundla,TUNDLA,000000,2,Intermediate Panchayat,772,Firozabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1847,Umarda,UMARDA,000000,2,Intermediate Panchayat,833,Chhibramau,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2020,Un,UN,000000,2,Intermediate Panchayat,707,Shamli,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1867,Vidhunu,VIDHUNU,000000,2,Intermediate Panchayat,849,Kanpur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249062,Agra,Agra,800804,4,Municipal Corporations,766,Agra,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249025,Aligarh,Aligarh,800768,4,Municipal Corporations,122433,Ajitpurasna,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249391,Ayodhya,Ayodhya,801109,4,Municipal Corporations,166338,Abboo Sarai Bnp,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249149,Bareilly,Bareilly,800866,4,Municipal Corporations,787,Bareilly,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249079,Firozabad,Firozabad,800816,4,Municipal Corporations,940115,Akarabad,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248988,Ghaziabad,Ghaziabad,800734,4,Municipal Corporations,739,Ghaziabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249444,Gorakhpur,Gorakhpur,801160,4,Municipal Corporations,185828,Bharwalia Buzurg,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249314,Jhansi,Jhansi,801030,4,Municipal Corporations,860,Jhansi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249286,Kanpur,Kanpur,801005,4,Municipal Corporations,850,Ghatampur,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249234,Lucknow,Lucknow,800951,4,Municipal Corporations,941532,Aaraji Mahtab Bagh,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249052,Mathura-Vrindavan,Mathura-Vrindavan,800799,4,Municipal Corporations,124077,Abdul Nabipur Banger,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248964,Meerut,Meerut,800716,4,Municipal Corporations,118585,Harar,Village,Full,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,248929,Moradabad,Moradabad,800682,4,Municipal Corporations,719,Moradabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,249369,Prayagraj,Prayagraj,801086,4,Municipal Corporations,161585,Abusa,Village,Full,2024-10-14 08:43:46
